fr-reforme1990_only,fr-classique_only
arrachepied,arrache-pied
arrière-gout,arrière-goût
arrière-gouts,arrière-goûts
arrièrera,arriérera
arrièrerai,arriérerai
arrièreraient,arriéreraient
arrièrerais,arriérerais
arrièrerait,arriérerait
arrièreras,arriéreras
arrièrerez,arriérerez
arrièreriez,arriéreriez
arrièrerions,arriérerions
arrièrerons,arriérerons
arrièreront,arriéreront
artéfact,artefact
artéfacts,artefacts
assèchera,asséchera
assècherai,assécherai
assècheraient,assécheraient
assècherais,assécherais
assècherait,assécherait
assècheras,assécheras
assècherez,assécherez
assècheriez,assécheriez
assècherions,assécherions
assècherons,assécherons
assècheront,assécheront
assénè,assené
assidument,assidûment
assiègera,assiégera
assiègerai,assiégerai
assiègeraient,assiégeraient
assiègerais,assiégerais
assiègerait,assiégerait
assiègeras,assiégeras
assiègerez,assiégerez
assiègeriez,assiégeriez
assiègerions,assiégerions
assiègerons,assiégerons
assiègeront,assiégeront
atémi,atemi
atémis,atemis
attocandéla,attocandela
attocandélas,attocandelas
attowéber,attoweber
attowébers,attowebers
attrapetout,attrape-tout
audiooral,audio-oral
audioorale,audio-orale
audioorales,audio-orales
audiooraux,audio-oraux
auriculotemporal,auriculo-temporal
auriculotemporale,auriculo-temporale
auriculotemporales,auriculo-temporales
auriculotemporaux,auriculo-temporaux
auriculoventriculaire,auriculo-ventriculaire
auriculoventriculaires,auriculo-ventriculaires
autoapitoiement,auto-apitoiement
autoapitoiements,auto-apitoiements
autoécole,auto-école
autoécoles,auto-écoles
autoorganisation,auto-organisation
autoorganisations,auto-organisations
autopatrouille,auto-patrouille
autostop,auto-stop
autostoppeur,auto-stoppeur
autostoppeurs,auto-stoppeurs
autostoppeuse,auto-stoppeuse
autostoppeuses,auto-stoppeuses
autostops,auto-stops
autotamponneuse,auto-tamponneuse
avaletout,avale-tout
avant-gout,avant-goût
avant-gouts,avant-goûts
avèrera,avérera
avèrerai,avérerai
avèreraient,avéreraient
avèrerais,avérerais
avèrerait,avérerait
avèreras,avéreras
avèrerez,avérerez
avèreriez,avéreriez
avèrerions,avérerions
avèrerons,avérerons
avèreront,avéreront
