GRAPH,CAT,
# Hure,PROPNgeo,
# Ifs,PROPNgeo,
# Irai,PROPNgeo,
# Irais,PROPNgeo,
# Isola,PROPNgeo,
# Issus,PROPNgeo,
# Jans,PROPNgeo,
# Jardin,PROPNgeo,
# Jarret,PROPNgeo,
# Jars,PROPNgeo,
# Job,PROPNgeo,
# Joyeuse,PROPNgeo,
# Joyeux,PROPNgeo,
# Juif,PROPNgeo,
# Julienne,PROPNgeo,
# Jumeaux,PROPNgeo,
# Jumelles,PROPNgeo,
# Juré,PROPNgeo,
# Jury,PROPNgeo,
# Lacs,PROPNgeo,
# Lama,PROPNgeo,
# Lancé,PROPNgeo,
# Landerneau,PROPNgeo,
# Landes,PROPNgeo,
# Langé,PROPNgeo,
# Laps,PROPNgeo,
# Lasse,PROPNgeo,
# Lattes,PROPNgeo,
# Lemmes,PROPNgeo,
# Lent,PROPNgeo,
# Lentilles,PROPNgeo,
# Lento,PROPNgeo,
# Lèves,PROPNgeo,
# Levier,PROPNgeo,
# Lies,PROPNgeo,
# Liez,PROPNgeo,
# Ligné,PROPNgeo,
# Limé,PROPNgeo,
# Limon,PROPNgeo,
# Limons,PROPNgeo,
# Lisses,PROPNgeo,
# Livré,PROPNgeo,
# Lombard,PROPNgeo,
# Long,PROPNgeo,
# Longes,PROPNgeo,
# Lorette,PROPNgeo,
# Louches,PROPNgeo,
# Loué,PROPNgeo,
# Louer,PROPNgeo,
# Loueuse,PROPNgeo,
# Loupes,PROPNgeo,
# Lourde,PROPNgeo,
# Lourdes,PROPNgeo,
# Luisant,PROPNgeo,
# Lutter,PROPNgeo,
# Lux,PROPNgeo,
# Luxé,PROPNgeo,
# Lys,PROPNgeo,
# Madré,PROPNgeo,
# Magenta,PROPNgeo,
# Magné,PROPNgeo,
# Maillé,PROPNgeo,
# Maillet,PROPNgeo,
# Maillot,PROPNgeo,
# Maisons,PROPNgeo,
# Mâle,PROPNgeo,
# Marchais,PROPNgeo,
# Marches,PROPNgeo,
# Marie,PROPNgeo,
# Marin,PROPNgeo,
# Marines,PROPNgeo,
# Mariol,PROPNgeo,
# Marions,PROPNgeo,
# Marnes,PROPNgeo,
# Marques,PROPNgeo,
# Marquise,PROPNgeo,
# Marre,PROPNgeo,
# Mars,PROPNgeo,
# Martel,PROPNgeo,
# Martinet,PROPNgeo,
# Martres,PROPNgeo,
# Massais,PROPNgeo,
# Maure,PROPNgeo,
# Mauves,PROPNgeo,
# Maux,PROPNgeo,
# Mazé,PROPNgeo,
# Médis,PROPNgeo,
# Mens,PROPNgeo,
# Menton,PROPNgeo,
# Mer,PROPNgeo,
# Merles,PROPNgeo,
# Meures,PROPNgeo,
# Migré,PROPNgeo,
# Minerve,PROPNgeo,
# Minot,PROPNgeo,
# Moiré,PROPNgeo,
# Moisson,PROPNgeo,
# Molles,PROPNgeo,
# Monceaux,PROPNgeo,
# Monnaie,PROPNgeo,
# Mont,PROPNgeo,
# Montagne,PROPNgeo,
# Monte,PROPNgeo,
# Monts,PROPNgeo,
# Morillon,PROPNgeo,
# Mortiers,PROPNgeo,
# Mouais,PROPNgeo,
# Mouchard,PROPNgeo,
# Mouettes,PROPNgeo,
# Moulines,PROPNgeo,
# Moulinet,PROPNgeo,
# Moulins,PROPNgeo,
# Moult,PROPNgeo,
# Mouriez,PROPNgeo,
# Mouron,PROPNgeo,
# Mousson,PROPNgeo,
# Mouton,PROPNgeo,
# Moutonne,PROPNgeo,
# Moyen,PROPNgeo,
# Muids,PROPNgeo,
# Mûres,PROPNgeo,
# Muret,PROPNgeo,
# Murs,PROPNgeo,
# Mus,PROPNgeo,
# Nages,PROPNgeo,
# Nivelle,PROPNgeo,
# Nonette,PROPNgeo,
# Noyant,PROPNgeo,
# Noyers,PROPNgeo,
# Nuits,PROPNgeo,
# Oison,PROPNgeo,
# Ollé,PROPNgeo,
# Omet,PROPNgeo,
# Ondes,PROPNgeo,
# Ongles,PROPNgeo,
# Oraison,PROPNgeo,
# Orange,PROPNgeo,
# Ore,PROPNgeo,
# Orgelet,PROPNgeo,
# Orges,PROPNgeo,
# Orgueil,PROPNgeo,
